Unnamed: 0,ID,Date,<HIGH>,<LOW>,<OPEN>,<CLOSE>,<VOL>,Adj Close,emv,emv_ema_14,acc_dist,acc_dist_ema21,obv,obv_ema21,pvt,pvt_ema21,atr,bol_bands_middle,bol_bands_upper,bol_bands_lower,google news,Wikki hits,Sector
37925,HDFC,2010-02-02 00:00:00,126.4000015259,123.0400009155,124.4000015259,125.0400009155,1877745,115.0586853027,713.9631885561,-770.5373415423,357665.3082184,147852.987589762,6370847820,6363081533.964,286718541.535799,286638246.212717,11.4289033732,186.0810239073,313.8669283279,58.2951194866,10,,Bank
37926,HDFC,2010-02-03 00:00:00,130.9600067139,125,126.4000015259,130.4499969482,2264310,122.4857711792,858.0819154248,-661.9627244112,1876786.87533122,226440.89157801,6373112130,6363537470.14745,286816509.450283,286646349.087152,11.0643102626,183.4319273854,304.4697050591,62.3941497117,11,,Bank
37927,HDFC,2010-02-04 00:00:00,131.5500030518,127.1100006104,129.0500030518,129.3399963379,1960870,121.4435272217,305.6804643343,-597.4531784948,8827.8909203508,216549.391548117,6371151260,6363883551.50439,286799824.383608,286653325.236991,10.6226897412,180.8561211451,295.2175837596,66.4946585305,9,,Bank
37928,HDFC,2010-02-05 00:00:00,128.9799957275,122.5,123.1100006104,127.0299987793,2513800,119.2745819092,-925.4200958651,-619.3176396528,1000866.18504119,252200.154888711,6368637460,6364099638.25419,286754928.202789,286657943.553618,10.370510181,178.292972461,286.718063141,69.867881781,5,,Bank
37929,HDFC,2010-02-08 00:00:00,130.5899963379,127.8000030518,130,129.8200073242,892700,121.8942489624,1079.8064200985,-506.0427023361,399961.041866082,258916.558842228,6369530160,6364346480.15172,286774534.914998,286663243.160953,9.9164760062,175.9847360259,279.0378584633,72.9316135885,12,,Bank
37930,HDFC,2010-02-09 00:00:00,129.8000030518,127.1999969482,129.8000030518,127.9899978638,676620,120.1759414673,-267.0632627597,-490.1107396976,-265443.719497173,235082.000735891,6368853540,6364551346.50846,286764996.932166,286667868.332372,9.4300449641,173.6992723039,271.1455501683,76.2529944395,6,,Bank
37931,HDFC,2010-02-10 00:00:00,129.6199951172,127.5,127.8000030518,128.0599975586,697880,120.2416992188,18.2258455984,-456.2216340112,-329189.437438802,209433.299000678,6369551420,6364778622.57626,286765378.613453,286672300.617876,8.9427083077,171.5259735065,264.1884299418,78.8635170712,12,,Bank
37932,HDFC,2010-02-11 00:00:00,128.9600067139,127,128.3999938965,127.9899978638,615600,120.1759414673,-184.6641535507,-438.1178019805,6278.1605436913,200198.97452536,6368935820,6364967586.09552,286765042.116397,286676516.140536,8.4771948681,169.4528318092,257.7137800447,81.1918835738,11,,Bank
37933,HDFC,2010-02-15 00:00:00,130.3999938965,125.8000030518,125.8000030518,127.4800033569,925995,119.6971130371,59.6090087392,-404.9360145992,-249614.574428205,179752.90411838,6368009825,6365105869.68209,286761352.356484,286680372.33217,8.2187145999,167.4541256924,251.9176042846,82.9906471003,15,,Bank
37934,HDFC,2010-02-16 00:00:00,128.2799987793,126.6999969482,128.2799987793,127.0400009155,479900,119.2839660645,-200.8339406751,-391.3292096709,-273358.588853377,159156.927165118,6367529925,6365216054.01472,286759695.962022,286683977.951709,7.7761337486,165.5296435602,246.1975487827,84.8617383377,14,,Bank
