date,MARUTI,overlap
2010-08-25,42.0,
2010-08-26,39.0,
2010-08-27,41.0,
2010-08-28,46.0,
2010-08-29,53.0,
2010-08-30,41.0,
2010-08-31,36.0,
2010-09-01,38.0,
2010-09-02,35.0,
2010-09-03,44.0,
2010-09-04,42.0,
2010-09-05,39.0,
2010-09-06,40.0,
2010-09-07,42.0,
2010-09-08,36.0,
2010-09-09,40.0,
2010-09-10,41.0,
2010-09-11,36.0,
2010-09-12,40.0,
2010-09-13,41.0,
2010-09-14,32.0,
2010-09-15,41.0,
2010-09-16,38.0,
2010-09-17,39.0,
2010-09-18,40.0,
2010-09-19,33.0,
2010-09-20,41.0,
2010-09-21,39.0,
2010-09-22,35.0,
2010-09-23,35.0,
2010-09-24,44.0,
2010-09-25,39.0,
2010-09-26,44.0,
2010-09-27,32.0,1.0
2010-09-28,35.0,1.0
2010-09-29,36.0,1.0
2010-09-30,29.0,1.0
2010-10-01,38.0,1.0
2010-10-02,34.0,1.0
2010-10-03,34.0,1.0
2010-10-04,38.0,1.0
2010-10-05,32.0,1.0
2010-10-06,34.0,1.0
2010-10-07,33.0,1.0
2010-10-08,36.0,1.0
2010-10-09,34.0,1.0
2010-10-10,31.0,1.0
2010-10-11,38.0,1.0
2010-10-12,33.0,1.0
2010-10-13,35.0,1.0
2010-10-14,33.0,1.0
2010-10-15,35.0,1.0
2010-10-16,35.0,1.0
2010-10-17,29.0,1.0
2010-10-18,39.0,1.0
2010-10-19,33.0,1.0
2010-10-20,34.0,1.0
2010-10-21,34.0,1.0
2010-10-22,33.0,1.0
2010-10-23,39.0,1.0
2010-10-24,34.0,1.0
2010-10-25,36.0,1.0
2010-10-26,37.0,1.0
2010-10-27,34.0,1.0
2010-10-28,37.0,1.0
2010-10-29,36.0,1.0
2010-10-30,42.0,1.0
2010-10-31,32.0,1.0
2010-11-01,36.0,1.0
2010-11-02,32.0,1.0
2010-11-03,32.0,1.0
2010-11-04,28.0,1.0
2010-11-05,22.0,1.0
2010-11-06,28.0,1.0
2010-11-07,23.0,1.0
2010-11-08,28.0,1.0
2010-11-09,34.0,1.0
2010-11-10,36.0,1.0
2010-11-11,35.0,1.0
2010-11-12,30.0,1.0
2010-11-13,36.0,1.0
2010-11-14,24.0,1.0
2010-11-15,35.0,1.0
2010-11-16,32.0,1.0
2010-11-17,33.0,1.0
