date,LT,overlap
2010-08-25,44.0,
2010-08-26,47.0,
2010-08-27,41.0,
2010-08-28,41.0,
2010-08-29,37.0,
2010-08-30,42.0,
2010-08-31,44.0,
2010-09-01,37.0,
2010-09-02,46.0,
2010-09-03,35.0,
2010-09-04,38.0,
2010-09-05,31.0,
2010-09-06,42.0,
2010-09-07,37.0,
2010-09-08,43.0,
2010-09-09,44.0,
2010-09-10,35.0,
2010-09-11,41.0,
2010-09-12,35.0,
2010-09-13,41.0,
2010-09-14,38.0,
2010-09-15,42.0,
2010-09-16,39.0,
2010-09-17,43.0,
2010-09-18,37.0,
2010-09-19,41.0,
2010-09-20,42.0,
2010-09-21,45.0,
2010-09-22,46.0,
2010-09-23,34.0,
2010-09-24,37.0,
2010-09-25,43.0,
2010-09-26,35.0,
2010-09-27,45.0,1.0
2010-09-28,46.0,1.0
2010-09-29,43.0,1.0
2010-09-30,48.0,1.0
2010-10-01,42.0,1.0
2010-10-02,41.0,1.0
2010-10-03,46.0,1.0
2010-10-04,44.0,1.0
2010-10-05,46.0,1.0
2010-10-06,42.0,1.0
2010-10-07,47.0,1.0
2010-10-08,39.0,1.0
2010-10-09,41.0,1.0
2010-10-10,40.0,1.0
2010-10-11,46.0,1.0
2010-10-12,43.0,1.0
2010-10-13,42.0,1.0
2010-10-14,43.0,1.0
2010-10-15,42.0,1.0
2010-10-16,42.0,1.0
2010-10-17,39.0,1.0
2010-10-18,48.0,1.0
2010-10-19,45.0,1.0
2010-10-20,42.0,1.0
2010-10-21,44.0,1.0
2010-10-22,45.0,1.0
2010-10-23,39.0,1.0
2010-10-24,42.0,1.0
2010-10-25,48.0,1.0
2010-10-26,43.0,1.0
2010-10-27,44.0,1.0
2010-10-28,47.0,1.0
2010-10-29,44.0,1.0
2010-10-30,42.0,1.0
2010-10-31,38.0,1.0
2010-11-01,48.0,1.0
2010-11-02,54.0,1.0
2010-11-03,50.0,1.0
2010-11-04,45.0,1.0
2010-11-05,45.0,1.0
2010-11-06,38.0,1.0
2010-11-07,44.0,1.0
2010-11-08,43.0,1.0
2010-11-09,44.0,1.0
2010-11-10,43.0,1.0
2010-11-11,47.0,1.0
2010-11-12,42.0,1.0
2010-11-13,41.0,1.0
2010-11-14,41.0,1.0
2010-11-15,44.0,1.0
2010-11-16,44.0,1.0
2010-11-17,44.0,1.0
2010-11-18,39.0,1.0
2010-11-19,44.0,1.0
2010-11-20,42.0,1.0
2010-11-21,40.0,1.0
2010-11-22,42.0,1.0
2010-11-23,48.0,1.0
2010-11-24,47.0,1.0
2010-11-25,50.0,1.0
2010-11-26,46.0,1.0
2010-11-27,41.0,1.0
2010-11-28,42.0,1.0
2010-11-29,43.0,1.0
2010-11-30,46.0,1.0
2010-12-01,46.0,1.0
2010-12-02,42.0,1.0
2010-12-03,43.0,1.0
2010-12-04,43.0,1.0
2010-12-05,42.0,1.0
2010-12-06,43.0,1.0
2010-12-07,43.0,1.0
2010-12-08,44.0,1.0
2010-12-09,41.0,1.0
2010-12-10,41.0,1.0
2010-12-11,43.0,1.0
2010-12-12,41.0,1.0
2010-12-13,44.0,1.0
2010-12-14,40.0,1.0
2010-12-15,43.0,1.0
2010-12-16,42.0,1.0
2010-12-17,38.0,1.0
2010-12-18,37.0,1.0
2010-12-19,37.0,1.0
2010-12-20,37.0,1.0
2010-12-21,36.0,1.0
2010-12-22,41.0,1.0
2010-12-23,36.0,1.0
2010-12-24,36.0,1.0
2010-12-25,38.0,1.0
2010-12-26,34.0,1.0
2010-12-27,39.0,1.0
2010-12-28,39.0,1.0
2010-12-29,42.0,1.0
2010-12-30,36.0,1.0
2010-12-31,37.0,1.0
2011-01-01,36.0,1.0
2011-01-02,37.0,1.0
2011-01-03,43.0,1.0
2011-01-04,43.0,1.0
2011-01-05,38.0,1.0
2011-01-06,45.0,
2011-01-07,48.0,
2011-01-08,46.0,
2011-01-09,40.0,
2011-01-10,41.0,
2011-01-11,45.0,
2011-01-12,41.0,
2011-01-13,44.0,
2011-01-14,47.0,
2011-01-15,38.0,
2011-01-16,45.0,
2011-01-17,45.0,
2011-01-18,43.0,
2011-01-19,41.0,
2011-01-20,43.0,
2011-01-21,45.0,
2011-01-22,39.0,
2011-01-23,41.0,
2011-01-24,45.0,
2011-01-25,45.0,
2011-01-26,42.0,
2011-01-27,45.0,
2011-01-28,45.0,
2011-01-29,38.0,
2011-01-30,37.0,
2011-01-31,47.0,
2011-02-01,46.0,
2011-02-02,40.0,
2011-02-03,39.0,
2011-02-04,39.0,
2011-02-05,42.0,
2011-02-06,39.0,
2011-02-07,44.0,
2011-02-08,44.0,
2011-02-09,45.0,
2011-02-10,43.0,
2011-02-11,42.0,
2011-02-12,40.0,
2011-02-13,40.0,
2011-02-14,46.0,
2011-02-15,45.0,
2011-02-16,46.0,
2011-02-17,47.0,
2011-02-18,43.0,
2011-02-19,46.0,
2011-02-20,41.0,
2011-02-21,44.0,
2011-02-22,45.0,
2011-02-23,49.0,
2011-02-24,43.0,
2011-02-25,45.0,
2011-02-26,41.0,
2011-02-27,43.0,
2011-02-28,42.0,
2011-03-01,48.0,
2011-03-02,47.0,
2011-03-03,41.0,
2011-03-04,43.0,
2011-03-05,39.0,
2011-03-06,42.0,
2011-03-07,46.0,
2011-03-08,46.0,
2011-03-09,43.0,
2011-03-10,48.0,
2011-03-11,41.0,
2011-03-12,45.0,
2011-03-13,41.0,
2011-03-14,47.0,
2011-03-15,40.0,1.0
2011-03-16,43.0,1.0
2011-03-17,41.0,1.0
2011-03-18,39.0,1.0
2011-03-19,40.0,1.0
2011-03-20,41.0,1.0
2011-03-21,45.0,1.0
2011-03-22,47.0,1.0
2011-03-23,44.0,1.0
2011-03-24,47.0,1.0
2011-03-25,42.0,1.0
2011-03-26,41.0,1.0
2011-03-27,40.0,1.0
2011-03-28,47.0,1.0
2011-03-29,42.0,1.0
2011-03-30,45.0,1.0
2011-03-31,46.0,1.0
2011-04-01,45.0,1.0
2011-04-02,39.0,1.0
2011-04-03,40.0,1.0
2011-04-04,41.0,1.0
2011-04-05,43.0,1.0
2011-04-06,45.0,1.0
2011-04-07,44.0,1.0
2011-04-08,43.0,1.0
2011-04-09,43.0,1.0
2011-04-10,42.0,1.0
2011-04-11,44.0,1.0
2011-04-12,43.0,1.0
2011-04-13,42.0,1.0
2011-04-14,45.0,1.0
2011-04-15,43.0,1.0
2011-04-16,39.0,1.0
2011-04-17,37.0,1.0
2011-04-18,42.0,1.0
2011-04-19,43.0,1.0
2011-04-20,42.0,1.0
2011-04-21,40.0,1.0
2011-04-22,38.0,1.0
2011-04-23,40.0,1.0
2011-04-24,34.0,1.0
2011-04-25,39.0,1.0
2011-04-26,44.0,1.0
2011-04-27,40.0,1.0
2011-04-28,41.0,1.0
2011-04-29,39.0,1.0
2011-04-30,37.0,1.0
2011-05-01,41.0,1.0
2011-05-02,41.0,1.0
2011-05-03,40.0,1.0
2011-05-04,42.0,1.0
2011-05-05,41.0,1.0
2011-05-06,44.0,1.0
2011-05-07,38.0,1.0
2011-05-08,40.0,1.0
